user,year,total_songs,labeled_songs,predicted_songs,avg_confidence,filename
alpha,2019,170,100,70,0.8287043392768607,reconstructed_playlists/alpha_top_2019.csv
alpha,2020,100,100,0,1.0,reconstructed_playlists/alpha_top_2020.csv
alpha,2021,101,100,1,0.9936176534809098,reconstructed_playlists/alpha_top_2021.csv
alpha,2022,100,100,0,1.0,reconstructed_playlists/alpha_top_2022.csv
alpha,2023,100,100,0,1.0,reconstructed_playlists/alpha_top_2023.csv
alpha,2024,100,100,0,1.0,reconstructed_playlists/alpha_top_2024.csv
alpha,2025,100,100,0,1.0,reconstructed_playlists/alpha_top_2025.csv
beta,2019,100,100,0,1.0,reconstructed_playlists/beta_top_2019.csv
beta,2020,100,100,0,1.0,reconstructed_playlists/beta_top_2020.csv
beta,2021,102,100,2,0.9970336917586039,reconstructed_playlists/beta_top_2021.csv
beta,2022,102,100,2,0.9930693772006919,reconstructed_playlists/beta_top_2022.csv
beta,2023,103,100,3,0.9914058064144678,reconstructed_playlists/beta_top_2023.csv
beta,2024,100,100,0,1.0,reconstructed_playlists/beta_top_2024.csv
beta,2025,112,100,12,0.986601838931198,reconstructed_playlists/beta_top_2025.csv
delta,2019,101,100,1,0.996003513466297,reconstructed_playlists/delta_top_2019.csv
delta,2020,100,100,0,1.0,reconstructed_playlists/delta_top_2020.csv
delta,2021,101,100,1,0.9970074742401852,reconstructed_playlists/delta_top_2021.csv
delta,2022,96,96,0,1.0,reconstructed_playlists/delta_top_2022.csv
delta,2023,100,100,0,1.0,reconstructed_playlists/delta_top_2023.csv
delta,2024,100,100,0,1.0,reconstructed_playlists/delta_top_2024.csv
delta,2025,100,100,0,1.0,reconstructed_playlists/delta_top_2025.csv
epsilon,2019,101,100,1,0.9973616407388067,reconstructed_playlists/epsilon_top_2019.csv
epsilon,2020,100,100,0,1.0,reconstructed_playlists/epsilon_top_2020.csv
epsilon,2021,95,95,0,1.0,reconstructed_playlists/epsilon_top_2021.csv
epsilon,2022,100,100,0,1.0,reconstructed_playlists/epsilon_top_2022.csv
epsilon,2023,100,100,0,1.0,reconstructed_playlists/epsilon_top_2023.csv
epsilon,2024,100,100,0,1.0,reconstructed_playlists/epsilon_top_2024.csv
epsilon,2025,100,100,0,1.0,reconstructed_playlists/epsilon_top_2025.csv
gamma,2019,107,100,7,0.9707170753654876,reconstructed_playlists/gamma_top_2019.csv
gamma,2020,100,100,0,1.0,reconstructed_playlists/gamma_top_2020.csv
gamma,2021,100,100,0,1.0,reconstructed_playlists/gamma_top_2021.csv
gamma,2022,100,100,0,1.0,reconstructed_playlists/gamma_top_2022.csv
gamma,2023,100,100,0,1.0,reconstructed_playlists/gamma_top_2023.csv
gamma,2024,100,100,0,1.0,reconstructed_playlists/gamma_top_2024.csv
gamma,2025,100,100,0,1.0,reconstructed_playlists/gamma_top_2025.csv
